材料コード,材料名,カテゴリ,単位,標準単価(円),発注点(kg/個),発注ロット(kg/個),リードタイム(日),保管場所,現在庫量,在庫金額(円),賞味期限管理,アレルゲン,主要仕入先コード,備考
RAW-001,薄力粉,穀物類,kg,85,500,1000,3,倉庫A-1,1250,106250,なし,小麦,SUP-001,国産
RAW-002,強力粉,穀物類,kg,95,500,1000,3,倉庫A-1,980,93100,なし,小麦,SUP-001,国産
RAW-003,上白糖,糖類,kg,120,300,500,5,倉庫A-2,760,91200,なし,なし,SUP-002,
RAW-004,グラニュー糖,糖類,kg,130,200,500,5,倉庫A-2,430,55900,なし,なし,SUP-002,
RAW-005,食塩,調味料,kg,60,100,200,7,倉庫A-3,320,19200,なし,なし,SUP-003,
RAW-006,バター(有塩),乳製品,kg,1200,50,100,2,冷蔵庫B-1,85,102000,要冷蔵,乳,SUP-004,10℃以下保管
RAW-007,マーガリン,乳製品,kg,450,100,200,3,冷蔵庫B-1,210,94500,要冷蔵,乳,SUP-004,
RAW-008,鶏卵,卵類,個,25,500,1000,1,冷蔵庫B-2,2300,57500,要冷蔵,卵,SUP-005,Mサイズ
RAW-009,牛乳,乳製品,L,180,100,200,1,冷蔵庫B-2,340,61200,要冷蔵,乳,SUP-004,
RAW-010,生クリーム(乳脂35%),乳製品,L,650,50,100,2,冷蔵庫B-2,75,48750,要冷蔵,乳,SUP-004,
RAW-011,ショートニング,油脂類,kg,380,100,200,5,倉庫A-4,280,106400,なし,なし,SUP-006,
RAW-012,サラダ油,油脂類,L,280,50,100,5,倉庫A-4,190,53200,なし,なし,SUP-006,
RAW-013,ベーキングパウダー,膨張剤,kg,850,20,50,7,倉庫A-5,42,35700,なし,なし,SUP-007,
RAW-014,ドライイースト,酵母,kg,2200,10,20,5,冷蔵庫C-1,18,39600,要冷蔵,なし,SUP-007,
RAW-015,バニラエッセンス,香料,L,3500,5,10,10,倉庫A-5,12,42000,なし,なし,SUP-008,
RAW-016,ココアパウダー,加工品,kg,1800,20,50,7,倉庫A-5,38,68400,なし,なし,SUP-009,
RAW-017,チョコレート(製菓用),加工品,kg,2500,30,50,5,冷蔵庫C-1,65,162500,要冷蔵,乳・大豆,SUP-009,
RAW-018,いちごジャム,果実加工品,kg,680,30,50,5,冷蔵庫C-2,88,59840,要冷蔵,なし,SUP-010,
RAW-019,りんごジャム,果実加工品,kg,620,30,50,5,冷蔵庫C-2,72,44640,要冷蔵,なし,SUP-010,
RAW-020,レーズン,乾燥果実,kg,900,20,50,10,倉庫A-6,55,49500,なし,なし,SUP-011,
RAW-021,クルミ(ロースト),ナッツ類,kg,2800,10,30,14,倉庫A-6,28,78400,なし,くるみ,SUP-011,
RAW-022,アーモンドスライス,ナッツ類,kg,3200,10,20,14,倉庫A-6,22,70400,なし,アーモンド,SUP-011,
RAW-023,水あめ,糖類,kg,280,50,100,7,倉庫A-2,165,46200,なし,なし,SUP-002,
RAW-024,蜂蜜,糖類,kg,1500,20,50,10,倉庫A-2,44,66000,なし,なし,SUP-012,
RAW-025,コーンスターチ,でん粉類,kg,180,50,100,7,倉庫A-3,230,41400,なし,なし,SUP-003,
RAW-026,ゼラチン(板),ゲル化剤,kg,4500,5,10,10,倉庫A-5,9,40500,なし,なし,SUP-007,
RAW-027,寒天粉,ゲル化剤,kg,2200,5,10,14,倉庫A-5,14,30800,なし,なし,SUP-007,
RAW-028,食用色素(赤),着色料,kg,5800,1,5,14,倉庫A-5,4,23200,なし,なし,SUP-008,
RAW-029,食用色素(黄),着色料,kg,5800,1,5,14,倉庫A-5,3,17400,なし,なし,SUP-008,
RAW-030,レモン果汁,果汁類,L,850,10,20,5,冷蔵庫C-2,32,27200,要冷蔵,なし,SUP-010,
PKG-001,紙箱(6個入り),包装資材,個,45,1000,5000,7,倉庫D-1,8500,382500,なし,なし,SUP-013,
PKG-002,紙箱(12個入り),包装資材,個,75,500,2000,7,倉庫D-1,3200,240000,なし,なし,SUP-013,
PKG-003,OPP袋(小),包装資材,個,5,5000,20000,7,倉庫D-2,42000,210000,なし,なし,SUP-014,
PKG-004,OPP袋(大),包装資材,個,8,3000,10000,7,倉庫D-2,18500,148000,なし,なし,SUP-014,
PKG-005,ケーキ台紙(丸6号),包装資材,枚,12,1000,3000,10,倉庫D-1,4800,57600,なし,なし,SUP-013,
PKG-006,ケーキ台紙(丸5号),包装資材,枚,10,500,2000,10,倉庫D-1,2900,29000,なし,なし,SUP-013,
PKG-007,シール(ブランドロゴ),包装資材,枚,3,10000,50000,14,倉庫D-2,68000,204000,なし,なし,SUP-015,
PKG-008,リボン(赤),包装資材,m,15,200,1000,14,倉庫D-3,850,12750,なし,なし,SUP-015,
PKG-009,保冷剤(小),包装資材,個,35,500,2000,5,倉庫D-3,3200,112000,なし,なし,SUP-016,
PKG-010,段ボール(輸送用大),包装資材,個,120,300,1000,5,倉庫D-4,1200,144000,なし,なし,SUP-013,
