BOMコード,製品コード,製品名,材料コード,材料名,使用量,単位,ロス率(%),純使用量,工程,備考
BOM-001-01,PRD-001,プレーンスポンジケーキ,RAW-001,薄力粉,200,g,3,206,生地混合,
BOM-001-02,PRD-001,プレーンスポンジケーキ,RAW-008,鶏卵,4,個,2,5,生地混合,
BOM-001-03,PRD-001,プレーンスポンジケーキ,RAW-003,上白糖,160,g,2,163,生地混合,
BOM-001-04,PRD-001,プレーンスポンジケーキ,RAW-006,バター(有塩),40,g,3,41,生地混合,
BOM-001-05,PRD-001,プレーンスポンジケーキ,RAW-013,ベーキングパウダー,6,g,5,7,生地混合,
BOM-001-06,PRD-001,プレーンスポンジケーキ,RAW-015,バニラエッセンス,2,g,5,3,生地混合,
BOM-001-07,PRD-001,プレーンスポンジケーキ,PKG-005,ケーキ台紙(丸6号),1,枚,0,1,包装,
BOM-002-01,PRD-002,チョコレートスポンジケーキ,RAW-001,薄力粉,170,g,3,175,生地混合,
BOM-002-02,PRD-002,チョコレートスポンジケーキ,RAW-016,ココアパウダー,30,g,3,31,生地混合,
BOM-002-03,PRD-002,チョコレートスポンジケーキ,RAW-008,鶏卵,4,個,2,5,生地混合,
BOM-002-04,PRD-002,チョコレートスポンジケーキ,RAW-003,上白糖,160,g,2,163,生地混合,
BOM-002-05,PRD-002,チョコレートスポンジケーキ,RAW-006,バター(有塩),40,g,3,41,生地混合,
BOM-002-06,PRD-002,チョコレートスポンジケーキ,RAW-013,ベーキングパウダー,6,g,5,7,生地混合,
BOM-002-07,PRD-002,チョコレートスポンジケーキ,PKG-005,ケーキ台紙(丸6号),1,枚,0,1,包装,
BOM-003-01,PRD-003,ショートケーキ(いちご),RAW-001,薄力粉,200,g,3,206,スポンジ生地,
BOM-003-02,PRD-003,ショートケーキ(いちご),RAW-008,鶏卵,4,個,2,5,スポンジ生地,
BOM-003-03,PRD-003,ショートケーキ(いちご),RAW-003,上白糖,200,g,2,204,スポンジ+クリーム,
BOM-003-04,PRD-003,ショートケーキ(いちご),RAW-010,生クリーム(乳脂35%),300,ml,5,315,クリーム,
BOM-003-05,PRD-003,ショートケーキ(いちご),RAW-018,いちごジャム,80,g,3,82,フィリング,
BOM-003-06,PRD-003,ショートケーキ(いちご),RAW-006,バター(有塩),30,g,3,31,スポンジ生地,
BOM-003-07,PRD-003,ショートケーキ(いちご),PKG-005,ケーキ台紙(丸6号),1,枚,0,1,包装,
BOM-011-01,PRD-011,プレーンシュークリーム,RAW-001,薄力粉,30,g,3,31,シュー生地,
BOM-011-02,PRD-011,プレーンシュークリーム,RAW-008,鶏卵,1,個,2,2,シュー生地,
BOM-011-03,PRD-011,プレーンシュークリーム,RAW-006,バター(有塩),25,g,3,26,シュー生地,
BOM-011-04,PRD-011,プレーンシュークリーム,RAW-009,牛乳,60,ml,3,62,シュー生地+クリーム,
BOM-011-05,PRD-011,プレーンシュークリーム,RAW-010,生クリーム(乳脂35%),40,ml,5,42,クリーム,
BOM-011-06,PRD-011,プレーンシュークリーム,RAW-003,上白糖,15,g,2,16,クリーム,
BOM-011-07,PRD-011,プレーンシュークリーム,RAW-025,コーンスターチ,8,g,5,9,クリーム,
BOM-011-08,PRD-011,プレーンシュークリーム,PKG-003,OPP袋(小),1,個,0,1,包装,
BOM-013-01,PRD-013,プレーンマドレーヌ,RAW-001,薄力粉,50,g,3,52,生地混合,
BOM-013-02,PRD-013,プレーンマドレーヌ,RAW-008,鶏卵,1,個,2,2,生地混合,
BOM-013-03,PRD-013,プレーンマドレーヌ,RAW-003,上白糖,50,g,2,51,生地混合,
BOM-013-04,PRD-013,プレーンマドレーヌ,RAW-006,バター(有塩),55,g,3,57,生地混合,
BOM-013-05,PRD-013,プレーンマドレーヌ,RAW-013,ベーキングパウダー,3,g,5,4,生地混合,
BOM-013-06,PRD-013,プレーンマドレーヌ,RAW-015,バニラエッセンス,1,g,5,2,生地混合,
BOM-013-07,PRD-013,プレーンマドレーヌ,PKG-003,OPP袋(小),1,個,0,1,包装,
BOM-017-01,PRD-017,プレーンクッキー(6枚),RAW-001,薄力粉,120,g,3,124,生地混合,
BOM-017-02,PRD-017,プレーンクッキー(6枚),RAW-006,バター(有塩),80,g,3,82,生地混合,
BOM-017-03,PRD-017,プレーンクッキー(6枚),RAW-004,グラニュー糖,60,g,2,62,生地混合,
BOM-017-04,PRD-017,プレーンクッキー(6枚),RAW-008,鶏卵,1,個,2,2,生地混合,
BOM-017-05,PRD-017,プレーンクッキー(6枚),RAW-015,バニラエッセンス,1,g,5,2,生地混合,
BOM-017-06,PRD-017,プレーンクッキー(6枚),PKG-003,OPP袋(小),1,個,0,1,包装,
BOM-017-07,PRD-017,プレーンクッキー(6枚),PKG-007,シール(ブランドロゴ),1,枚,0,1,包装,
BOM-019-01,PRD-019,チョコブラウニー,RAW-017,チョコレート(製菓用),100,g,3,103,チョコ溶融,
BOM-019-02,PRD-019,チョコブラウニー,RAW-006,バター(有塩),80,g,3,82,生地混合,
BOM-019-03,PRD-019,チョコブラウニー,RAW-003,上白糖,120,g,2,123,生地混合,
BOM-019-04,PRD-019,チョコブラウニー,RAW-008,鶏卵,2,個,2,3,生地混合,
BOM-019-05,PRD-019,チョコブラウニー,RAW-001,薄力粉,60,g,3,62,生地混合,
