オーダーNo,製品コード,製品名,計画数量,単位,完成数量,不良数量,ステータス,優先度,担当ライン,担当者,計画開始日時,計画終了日時,実績開始日時,実績終了日時,進捗率(%),工程メモ
MO-2026-0301,PRD-013,プレーンマドレーヌ,500,個,500,8,完了,通常,ライン1,田中 健,2026-03-01 08:00,2026-03-01 12:00,2026-03-01 08:05,2026-03-01 11:52,100,軽微な焼きムラあり
MO-2026-0302,PRD-014,チョコマドレーヌ,400,個,400,5,完了,通常,ライン1,田中 健,2026-03-01 13:00,2026-03-01 16:30,2026-03-01 13:10,2026-03-01 16:40,100,
MO-2026-0303,PRD-019,チョコブラウニー,600,個,600,12,完了,通常,ライン2,佐藤 美咲,2026-03-01 08:00,2026-03-01 14:00,2026-03-01 08:00,2026-03-01 13:45,100,
MO-2026-0304,PRD-011,プレーンシュークリーム,300,個,300,6,完了,高,ライン3,鈴木 一郎,2026-03-01 09:00,2026-03-01 15:00,2026-03-01 09:00,2026-03-01 15:20,100,賞味期限迫るため優先
MO-2026-0305,PRD-017,プレーンクッキー(6枚),200,袋,200,3,完了,通常,ライン2,佐藤 美咲,2026-03-01 15:00,2026-03-01 17:30,2026-03-01 15:05,2026-03-01 17:25,100,
MO-2026-0306,PRD-003,ショートケーキ(いちご),30,個,30,1,完了,高,ライン4,高橋 由美,2026-03-02 07:00,2026-03-02 11:00,2026-03-02 07:00,2026-03-02 11:15,100,デコレーション工程に時間
MO-2026-0307,PRD-001,プレーンスポンジケーキ,60,個,60,2,完了,通常,ライン1,田中 健,2026-03-02 08:00,2026-03-02 14:00,2026-03-02 08:10,2026-03-02 13:50,100,
MO-2026-0308,PRD-002,チョコレートスポンジケーキ,50,個,50,1,完了,通常,ライン1,田中 健,2026-03-02 14:30,2026-03-02 17:30,2026-03-02 14:35,2026-03-02 17:30,100,
MO-2026-0309,PRD-024,マフィン(プレーン),350,個,348,7,完了,通常,ライン2,伊藤 翔,2026-03-02 08:00,2026-03-02 13:00,2026-03-02 08:00,2026-03-02 13:10,100,
MO-2026-0310,PRD-026,スコーン(プレーン),400,個,400,9,完了,通常,ライン2,伊藤 翔,2026-03-02 14:00,2026-03-02 17:30,2026-03-02 14:00,2026-03-02 17:45,100,
MO-2026-0311,PRD-020,バウムクーヘン(小),120,個,120,3,完了,通常,ライン3,鈴木 一郎,2026-03-03 08:00,2026-03-03 16:00,2026-03-03 08:00,2026-03-03 15:55,100,
MO-2026-0312,PRD-028,レモンパウンドケーキ,200,個,200,4,完了,通常,ライン1,田中 健,2026-03-03 08:00,2026-03-03 12:30,2026-03-03 08:05,2026-03-03 12:20,100,
MO-2026-0313,PRD-022,プレーンロールケーキ,40,本,38,2,完了,通常,ライン4,高橋 由美,2026-03-03 09:00,2026-03-03 15:00,2026-03-03 09:00,2026-03-03 15:30,100,ロール成形で2本崩れ
MO-2026-0314,PRD-015,フィナンシェ(プレーン),500,個,500,10,完了,通常,ライン2,伊藤 翔,2026-03-03 08:00,2026-03-03 13:00,2026-03-03 08:00,2026-03-03 12:50,100,
MO-2026-0315,PRD-018,アソートクッキー(12枚),100,箱,100,2,完了,通常,ライン2,伊藤 翔,2026-03-03 14:00,2026-03-03 17:30,2026-03-03 14:05,2026-03-03 17:35,100,
MO-2026-0316,PRD-004,チョコレートケーキ,25,個,25,0,完了,高,ライン4,高橋 由美,2026-03-04 07:00,2026-03-04 12:00,2026-03-04 07:00,2026-03-04 12:05,100,
MO-2026-0317,PRD-007,レアチーズケーキ,35,個,35,1,完了,通常,ライン3,中村 葵,2026-03-04 08:00,2026-03-04 14:00,2026-03-04 08:10,2026-03-04 14:00,100,
MO-2026-0318,PRD-009,アップルパイ,60,個,58,2,完了,通常,ライン1,田中 健,2026-03-04 08:00,2026-03-04 15:00,2026-03-04 08:00,2026-03-04 14:50,100,
MO-2026-0319,PRD-029,マーブルパウンドケーキ,180,個,180,3,完了,通常,ライン2,伊藤 翔,2026-03-04 08:00,2026-03-04 12:30,2026-03-04 08:00,2026-03-04 12:35,100,
MO-2026-0320,PRD-021,バウムクーヘン(大),50,個,50,1,完了,通常,ライン3,鈴木 一郎,2026-03-04 09:00,2026-03-04 17:00,2026-03-04 09:00,2026-03-04 17:10,100,
MO-2026-0321,PRD-013,プレーンマドレーヌ,600,個,600,11,完了,通常,ライン1,田中 健,2026-03-05 08:00,2026-03-05 12:30,2026-03-05 08:00,2026-03-05 12:25,100,
MO-2026-0322,PRD-012,チョコシュークリーム,250,個,250,4,完了,通常,ライン3,中村 葵,2026-03-05 09:00,2026-03-05 15:00,2026-03-05 09:05,2026-03-05 14:55,100,
MO-2026-0323,PRD-025,マフィン(ブルーベリー),300,個,300,6,完了,通常,ライン2,伊藤 翔,2026-03-05 08:00,2026-03-05 13:00,2026-03-05 08:00,2026-03-05 13:05,100,
MO-2026-0324,PRD-030,ギフトボックス(6種入り),80,箱,80,0,完了,高,ライン5,山田 さくら,2026-03-05 10:00,2026-03-05 17:00,2026-03-05 10:00,2026-03-05 16:50,100,ギフト向け丁寧梱包
MO-2026-0325,PRD-027,スコーン(チョコチップ),350,個,280,5,完了,通常,ライン2,伊藤 翔,2026-03-05 14:00,2026-03-05 17:30,2026-03-05 14:00,2026-03-05 17:30,100,設備点検で一時停止 残70個は翌日
MO-2026-0326,PRD-027,スコーン(チョコチップ),70,個,70,1,完了,通常,ライン2,伊藤 翔,2026-03-06 08:00,2026-03-06 09:30,2026-03-06 08:00,2026-03-06 09:25,100,MO-2026-0325の継続分
MO-2026-0327,PRD-003,ショートケーキ(いちご),20,個,20,0,完了,最高,ライン4,高橋 由美,2026-03-06 07:00,2026-03-06 10:30,2026-03-06 07:00,2026-03-06 10:20,100,特急受注対応
MO-2026-0328,PRD-016,フィナンシェ(チョコ),400,個,400,8,完了,通常,ライン2,伊藤 翔,2026-03-06 10:00,2026-03-06 14:30,2026-03-06 10:00,2026-03-06 14:30,100,
MO-2026-0329,PRD-008,ベイクドチーズケーキ,45,個,45,1,完了,通常,ライン3,中村 葵,2026-03-06 08:00,2026-03-06 14:00,2026-03-06 08:05,2026-03-06 14:10,100,
MO-2026-0330,PRD-023,いちごロールケーキ,30,本,28,2,完了,通常,ライン4,高橋 由美,2026-03-06 11:00,2026-03-06 16:00,2026-03-06 11:00,2026-03-06 16:15,100,
MO-2026-0331,PRD-011,プレーンシュークリーム,400,個,400,7,完了,通常,ライン3,鈴木 一郎,2026-03-07 08:00,2026-03-07 14:00,2026-03-07 08:00,2026-03-07 14:05,100,
MO-2026-0332,PRD-019,チョコブラウニー,500,個,480,9,完了,通常,ライン2,佐藤 美咲,2026-03-07 08:00,2026-03-07 13:30,2026-03-07 08:00,2026-03-07 13:45,100,
MO-2026-0333,PRD-013,プレーンマドレーヌ,550,個,550,7,完了,通常,ライン1,田中 健,2026-03-07 08:00,2026-03-07 12:30,2026-03-07 08:00,2026-03-07 12:20,100,
MO-2026-0334,PRD-020,バウムクーヘン(小),100,個,95,5,完了,通常,ライン3,中村 葵,2026-03-07 09:00,2026-03-07 17:00,2026-03-07 09:00,2026-03-07 17:00,100,オーブン温度ばらつきで不良増加
MO-2026-0335,PRD-017,プレーンクッキー(6枚),250,袋,250,4,完了,通常,ライン2,伊藤 翔,2026-03-07 14:00,2026-03-07 17:30,2026-03-07 14:00,2026-03-07 17:30,100,
MO-2026-0336,PRD-013,プレーンマドレーヌ,600,個,420,5,作業中,通常,ライン1,田中 健,2026-03-08 08:00,2026-03-08 12:30,2026-03-08 08:00,,70,焼成工程中
MO-2026-0337,PRD-004,チョコレートケーキ,20,個,0,0,作業中,高,ライン4,高橋 由美,2026-03-08 07:00,2026-03-08 13:00,2026-03-08 07:00,,35,デコレーション準備中
MO-2026-0338,PRD-026,スコーン(プレーン),500,個,200,3,作業中,通常,ライン2,佐藤 美咲,2026-03-08 08:00,2026-03-08 14:00,2026-03-08 08:00,,40,生地成形完了・焼成中
MO-2026-0339,PRD-011,プレーンシュークリーム,350,個,350,6,作業中,高,ライン3,鈴木 一郎,2026-03-08 07:30,2026-03-08 13:30,2026-03-08 07:30,,80,クリーム充填中
MO-2026-0340,PRD-028,レモンパウンドケーキ,300,個,0,0,作業中,通常,ライン1,田中 健,2026-03-08 13:00,2026-03-08 17:00,,,0,材料計量待ち
MO-2026-0341,PRD-018,アソートクッキー(12枚),120,箱,0,0,待機,通常,ライン2,伊藤 翔,2026-03-08 15:00,2026-03-08 17:30,,,0,MO-2026-0338完了待ち
MO-2026-0342,PRD-007,レアチーズケーキ,40,個,0,0,待機,通常,ライン3,中村 葵,2026-03-09 08:00,2026-03-09 14:00,,,0,冷蔵庫空き待ち
MO-2026-0343,PRD-030,ギフトボックス(6種入り),60,箱,0,0,待機,高,ライン5,山田 さくら,2026-03-09 10:00,2026-03-09 17:00,,,0,構成製品の完成待ち
MO-2026-0344,PRD-021,バウムクーヘン(大),40,個,0,0,計画済,通常,ライン3,未定,2026-03-10 09:00,2026-03-10 17:00,,,0,
MO-2026-0345,PRD-003,ショートケーキ(いちご),25,個,0,0,計画済,高,ライン4,高橋 由美,2026-03-10 07:00,2026-03-10 12:00,,,0,週末向け増産
MO-2026-0346,PRD-019,チョコブラウニー,700,個,0,0,計画済,通常,ライン2,佐藤 美咲,2026-03-10 08:00,2026-03-10 15:00,,,0,
MO-2026-0347,PRD-024,マフィン(プレーン),400,個,0,0,計画済,通常,ライン2,未定,2026-03-11 08:00,2026-03-11 13:00,,,0,
MO-2026-0348,PRD-015,フィナンシェ(プレーン),600,個,0,0,計画済,通常,ライン1,田中 健,2026-03-11 08:00,2026-03-11 13:30,,,0,
MO-2026-0349,PRD-009,アップルパイ,70,個,0,0,計画済,通常,ライン1,未定,2026-03-11 14:00,2026-03-11 17:30,,,0,
MO-2026-0350,PRD-016,フィナンシェ(チョコ),450,個,0,0,計画済,通常,ライン2,伊藤 翔,2026-03-12 08:00,2026-03-12 13:00,,,0,
